127.0.0.1 - - [21/Feb/2018:21:14:59 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [21/Feb/2018:21:15:00 +0900] "GET /BookShare/ HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [21/Feb/2018:21:15:21 +0900] "GET /BookShare/GoHomeAction.action HTTP/1.1" 404 1077
0:0:0:0:0:0:0:1 - - [21/Feb/2018:21:15:21 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [21/Feb/2018:21:15:36 +0900] "GET /BookShare/images/iconBook.png HTTP/1.1" 404 1077
0:0:0:0:0:0:0:1 - - [21/Feb/2018:21:15:36 +0900] "GET /BookShare/css/bookDetail.css HTTP/1.1" 404 1075
0:0:0:0:0:0:0:1 - - [21/Feb/2018:21:15:36 +0900] "GET /BookShare/css/normalize.css HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [21/Feb/2018:21:15:41 +0900] "GET /BookShare/css/normalize.css HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [21/Feb/2018:21:15:41 +0900] "GET /BookShare/css/form.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [21/Feb/2018:21:15:41 +0900] "GET /BookShare/css/style.css HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [21/Feb/2018:21:15:41 +0900] "GET /BookShare/images/iconBook.png HTTP/1.1" 404 1077
0:0:0:0:0:0:0:1 - - [21/Feb/2018:21:15:42 +0900] "GET /BookShare/css/normalize.css HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [21/Feb/2018:21:15:42 +0900] "GET /BookShare/css/style.css HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [21/Feb/2018:21:15:42 +0900] "GET /BookShare/images/iconBook.png HTTP/1.1" 404 1077
0:0:0:0:0:0:0:1 - - [21/Feb/2018:21:15:42 +0900] "GET /BookShare/css/form.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [21/Feb/2018:21:15:43 +0900] "GET /BookShare/css/normalize.css HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [21/Feb/2018:21:15:43 +0900] "GET /BookShare/css/style.css HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [21/Feb/2018:21:15:43 +0900] "GET /BookShare/css/form.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [21/Feb/2018:21:15:43 +0900] "GET /BookShare/images/iconBook.png HTTP/1.1" 404 1077
0:0:0:0:0:0:0:1 - - [21/Feb/2018:21:15:45 +0900] "GET /BookShare/css/style.css HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [21/Feb/2018:21:15:45 +0900] "GET /BookShare/css/normalize.css HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [21/Feb/2018:21:15:45 +0900] "GET /BookShare/css/form.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [21/Feb/2018:21:15:45 +0900] "GET /BookShare/images/iconBook.png HTTP/1.1" 404 1077
